ScrapingTime,EventID,EventTitle,EventAttendees,EventDate,EventURL,EventShortDesc
Thu Jul 22 06:07:33 2021,6813836120070074368,Your Customer Experience,8,"Thu, Jul 29, 1:00 PM BST",https://www.linkedin.com/events/6813836120070074368/,A taster session for small business owners - is your customer journey the very best it can be? From the moment a contact spots you online until the day they become a paying client (and beyond) you have the opportunity to delight them In this short workshop we will look at many of the potential touchpoints on that journey and discuss how you can stand out from the competition - in a good way! This is for you if you want to attract and retain more of the right customers.
Thu Jul 22 06:07:33 2021,6788615755819732992,The Power of Customer Experience: A Conversion with David Hauptman,25,"Wed, Aug 11, 9:30 PM BST",https://www.linkedin.com/events/6788615755819732992/,"The race to own customer experience is on! Today, 89% of companies compete primarily on the basis of customer experience (CX) – up from just 36% in 2010, says Forbes. Reducing friction during the buyer’s journey means customers will enjoy giving you their time and money. Join us for a conversation with Kenco Chief Commercial Officer, David Hauptman who will share his insights on the power ofdesign. David’s success across 20+ years with major corporations like Kenco, Geodis, and DHL can be attributed to his deep commitment to delighting customers. In this webinar, he will share his insights on the importance of innovating and managingand his recommendations for success. This event is brought to you by Bridge Innovate® - bridgeinnovate.com"
Thu Jul 22 06:07:33 2021,6813522269223104513,Empowering Cross Channel Customer Experiences,20,"Wed, Aug 4, 10:00 PM BST",https://www.linkedin.com/events/6813522269223104513/,"Join us for episode 8 of our 15 episode LinkedIn Live series, Keeping Up With E-Commerce. We are bringing together external e-commerce influencers with SAP experts who are committed to bringing you real, unscripted discussions on the latest e-commerce topics. Depending on the channels through which your customers prefer to engage with your brand, are you delivering a consistentor sending a muddled message? By delivering a consistent e-commerce experience to your customers across all channels, you encourage them to consistently interact with your brand and become customers for life. In this episode of Keeping Up with E-Commerce, our experts will discuss how to create consistent cross channel journeys and avoid sending conflicting messages to your audiences."
Thu Jul 22 06:07:33 2021,6823177171654316032,How to Transform The eCommerce CX Customer Experience,2,"Thu, Jul 29, 7:00 AM BST",https://www.linkedin.com/events/6823177171654316032/,"""How to Transform The eCommerce CX Customer Experience"" The present and the future of the eCommerce Customer Experience CX. How do businesses deliver better value, and what is needed to enhance the customer experience? How does it compare to on-location retail? What do we need to transform the experience? The Digital Experience Lab is the HUB where we gather monthly to discuss, learn, understand and execute the grand plans to grow global businesses through experiences online. ""What can you do to improve the EXPERIENCE of what you offer?"" We will be bringing in industry experts and business leaders There are 3 parts: 1. Discussion exploring the BIG question 2. Challenge workshop & ""What IF"" 3. Connections The goal? Create remarkable digital experiences worth remembering. We’re in a phase of humanizing the digital experience, not digitizing the human experience. Join us in exploring how to connect the #digital #experience & what it means for: #business #consultants #Coaches #tech #entertainers #artists #musicians #wineries Make a bigger impact, get better results, and find better customers online. Help define what really matters in the digital economy for business."
Thu Jul 22 06:07:33 2021,6823536408536334337,Webinar: Using AI in contact centres for a Netflix-like Customer Experience,1,"Wed, Jul 28, 5:30 PM BST",https://www.linkedin.com/events/6823536408536334337/,"Delivering an effortless customer experience is the best way to gain loyalty, with brands like Netflix, Peloton and Farfetch leading the way. Consumers worldwide have grown accustomed to personalised and frictionless journeys. Yet, many are unaware that Artificial Intelligence (AI) raises the bar for this gold standard customer experience. Having a connected brand experience across the entire customer journey is essential to transform CX the right way. Chantelle Newton from The UK Contact Centre Forum and editor of Contact Centre Monthly will be joined by Kezia Downing, AI Product Manager and Researcher from Talkdesk and they will be exploring AI-driven CX outcomes in contact centres, and how to create a Netflix-like customer experience, with crucial steps to successfully embark on an AI journey. - The rise of branded- Effortless CX: how top brands are leading the way - AI-led operational precision to improve CX - Designing the path to a Netflix-like CX in contact centres Can’t make the live session? The webinar is being recorded, so register your details to receive the replay link shortly after the live session ends. Be sure to invite any colleagues who would also benefit from this presentation. Our webinar software is browser based so you can access the webinar from any desktop PC, Laptop, Tablet or Mobile device. Please note: for the best webinar experience, we recommend using Google Chrome to access our platform. Internet Explorer is no longer supported and will not work. If you have any further questions regarding this event, please contact Chantelle Newton E: chantelle@uk-ccf.co.uk or call: 07540 227 288."
Thu Jul 22 06:07:33 2021,6816074652851482624,Adweek Webinar: Critical Trends in Customer Experience,4,"Thu, Jul 22 - Fri, Jul 23",https://www.linkedin.com/events/6816074652851482624/,"Critical Trends in Customer Experience: CX Futurist Blake Morgan on What Consumers Now Expect How people live, work and shop will be forever changed by the Covid pandemic. Companies can’t just rely on what they’ve done in the past to still deliver anthat resonates with customers. Organizations must adjust to these changes and meet their consumers where and when they want to be met."
Thu Jul 22 06:07:33 2021,6820414087382515712,Critical Trends in Customer Experience,2,"Thu, Jul 22 - Fri, Jul 23",https://www.linkedin.com/events/6820414087382515712/,"CX Futurist Blake Morgan on What Consumers Now Expect How people live, work and shop will be forever changed by the Covid pandemic. Companies can’t just rely on what they’ve done in the past to still deliver an experience that resonates with customers. Organizations must adjust to these changes and meet their consumers where and when they want to be met. Join CX futurist and author (“Theof the Future”) Blake Morgan, along with John Nash, chief marketing and strategy officer of Redpoint Global, for a look at how to use customer data to create a tailored experience in the context and cadence of the consumer. You’ll find out: How power has shifted to the consumer Strategies to create consistent, real-time personalization Ways that marketers are getting creative due to privacy regulations"
Thu Jul 22 06:07:33 2021,6818908258082832384,Improve Customer Experience & Business Processes with Integrated E-Commerce,3,"Tue, Jul 27, 4:00 PM BST",https://www.linkedin.com/events/6818908258082832384/,"To meet the evolving needs of your customers, you now need to deliver the same experience online that has made you a success offline. Join Storm and Sana Commerce to explore their e-commerce platform designed to help Manufacturing, Retail, Wholesale and Distribution companies, using D365 BC, to succeed by fostering lasting relationships with customers who depend on them. Have lunch on us with a Deliveroo voucher for all attendees. Reserve your seat to claim your voucher."
Thu Jul 22 06:07:33 2021,6747581054070214656,"Customer Service Representatives Virtual Career Fair - July 29thth, 2021",117,"Thu, Jul 29 - Fri, Jul 30",https://www.linkedin.com/events/6747581054070214656/,"MEET ONLINE WITH HIRING COMPANIES FOR CUSTOMER SERVICE, CALL CENTER & BILINGUAL. LOOKING FOR WORK? ARE YOU IN CUSTOMER SERVICE? REGISTER FOR CUTOMER SERVICE, CALL CENTRE & BILINGUAL VIRTUAL JOB FAIR The Customer Service, Call Center & Bilingual Virtual Career Fair connects candidates with employers looking for Bilingual (French & English) Candidates for different roles (Customer Service Representative (CSR), Associate, Officer, Communications, Customer Care Representative, Customer Service Agent, Customer Support Specialist, Team Member, Customer Account Manager, Ambassador, Telephone Sales Representative (TSR), Sales Consultant, Sales Advisor,Advisor and more) The Virtual Job Fair is for Job Seekers ONLY in CANADA (No International Applicants) WHEN: Thursday, July 29th 2021 | TIME: 1 pm - 4 pm (EST) ONLINE EVENT: Click on 'Online Event' UPCOMING DATES: July 29th, 2021 Apply Now to Jobs Posted by Exhibitors: https://bit.ly/3r5GXp3 FREE ADMISSION FOR JOB SEEKERS For additional information on the List of Exhibitors, please visit our website link www.jobscanadafair.com"
Thu Jul 22 06:07:33 2021,6818001077326110720,Improve your Customer Experience!,2,"Fri, Jul 30, 10:00 PM BST",https://www.linkedin.com/events/6818001077326110720/,Put your team and customers at the center of your business by aligning resources and functionalities with UCaaS software. Join for a open dialogue and demonstration of a modernized contact center solution that’ll increase productivity and internal/external experiences!
Thu Jul 22 06:07:45 2021,6669227764362567681,The Virtual MarTech Summit: Digital Experience,521,"Tue, Aug 24 - Thu, Aug 26",https://www.linkedin.com/events/6669227764362567681/,"Welcome to The Virtual MarTech Summit where the best minds in modern marketing technology converge. You’ll hear from leaders working in a cross-section of industries whose stories illustrate unique company pain points, breakthroughs, and triumphs. As digital adoption and innovation continue to shift consumer behaviour, crafting impactful digital experiences is fundamental to reaching the right audience. Savvy tech adopters and tomorrow’s consumer will demand instant solutions, unprecedented access, and the technology to match. The next generation ofis here and it’s digital. This 2-day summit, focused on digital platforms and Next Gen CX, will be delivered through a blend of fireside chats, panel discussions, and expert talks. Experienced thought-leaders will cover cutting-edge topics including AI, automation, digital transformation, social media marketing, hyper-personalisation, omnichannel experiences, disruptive technology, data insights, customer loyalty, digital storytelling & more. Get ready to take your digital projects and capabilities to the next level!"
Thu Jul 22 06:07:45 2021,6815175773054468096,Redefining Customer Journeys: Blending the Online to Offline Experience,15,"Today, 12:00 PM BST",https://www.linkedin.com/events/6815175773054468096/,"e-Commerce might have changed the game, but brick-and-mortar stores are here to stay. Retail stores continue to play an important role in a customer’s buying journey and to provide an all-rounded customer experience. In Singapore, up to 94% of retailers’ revenue still comes from offline purchases. (Osome, 2021) However, retailers today face the challenge of attributing digital ads performance to customers’ offline purchases. Hence, many are blindsided by the effectiveness of their advertisements and lose sight of creating a personalised customer relationship prominent in most offline shopping experiences. In this webinar, learn how you can redefine the customer journey by blending the offline and online shopping experience. Hear from users who have deepened their relationship with customers with the right toolsets and solution capabilities to drive your customer journeys."
Thu Jul 22 06:07:45 2021,6795385404133523456,RESHAPE VIRTUAL SUMMIT 2021 by Insider | Welcoming President Barack Obama,3835,"Wed, Sep 15 - Thu, Sep 16",https://www.linkedin.com/events/6795385404133523456/,"We are gearing up to host RESHAPE: The Experience Code by Insider on September 15-16. A two-day virtual summit aimed at global leaders, technology visionaries, and cutting-edge creators, RESHAPE will bring together over 8,000 CMOs, SVPs of Marketing, digital leaders, and 10,000+ attendees under one (virtual) roof with 100+ A-list speakers including: - Hanneke Faber, President Global Foods & Refreshment at Unilever - Sir Martin Sorrell, Executive Chairman at S4 Capital - Gillian Tans, Chairwoman at Booking.com - Tamara Rogers, Chief Marketing Officer at GSK Consumer Healthcare - Carolina Garcia Gomez, Global Digitalization Leader at IKEA - Peter Larko, Director of Marketing at Mercedes-Benz - Daisy Auger-Domíngue, Chief People Officer at VICE Media Group In an experience- and meaning-based economy, as leaders, we need to learn from each other and focus on building reciprocity between consumers and their brands to pivot forward RESHAPE brings together a vibrant community of leaders to share real-life stories of transformation and actionable advice on navigating paradigm shifts inexperience, leadership, sustainability, and diversity and inclusion. Save your seat: https://bit.ly/3thUdaE #RESHAPE21"
Thu Jul 22 06:07:45 2021,6822678200972382208,How I Create The Fastest Email Experience Ever,51,"Tomorrow, 3:00 AM BST",https://www.linkedin.com/events/6822678200972382208/,"Let's get honest - how many of you have a cluttered inbox? My husband and kids makes fun of me for all the red notifications that I have on my iPhone. 😂🔴 We are bombarded by emails these days. On average, we spend 3 hours a day on emails. How would you like to cut that time in half? I recently signed up with Superhuman and it's the most gorgeous, fast and intelligent email system I've ever experienced. They also have a very special onboarding process that makes the cueel valued and become raging fans - like me! Join us on Season 2, Episode 17 of the #FannyDunaganShow on HOW I CREATE THE FASTEST EMAIL EXVER with Jon Jon Wesolowski. He is the Onboarding & Productivity Specialist at Superhuman. We'll talk about: - Evolution of Email - What is the Superhuman email system and its origin story - Creating memorable customer experiences - How game design factors into Superhuman - Superhuman's unique customer onboarding process Superhuman is referral and waitlist only. Tune in LIVE To the show to have an opportunity to skip the waitlist and get your first month free. Drop a YES in the comments if you're tuning in live!"
Thu Jul 22 06:07:45 2021,6810274184032198656,ProS Who Know 2021: A Virtual Event Hyperfocused on Parcel Shipping,491,"Wed, Jul 21 - Fri, Jul 23",https://www.linkedin.com/events/6810274184032198656/,"Join ProShip for our 2nd Annual ProS Who Know: A Virtual Event Hyperfocused on Parcel Shipping. To view session descriptions and complete your registration, visit http://bit.ly/proswhoknow21 DAY 1 | Wednesday, July 21st 10am-11am CST Talk Data to Me: Illuminating Transportation Business Intelligence One of the most common buzzwords in business today? Analytics. But what does it mean for your company and where is the value? Join business intelligence experts at this ProS Who Know session for a roadmap of the industry and to learn how transportation analytics data will not only feed your supply chain decision-making process, but how your process can improve the quality of your data. Experts will share important information for the systems integration process as well as case study examples for how the right partner has delivered real-time, personalized key metrics that transformed one company’s shipping procedure AND their bottom line! 12pm-1pm CST Dotcom Distribution: 3PL Success in a Time of Parcel Turmoil E-commerce shoppers want their orders fast, and since the pandemic, 3PLs have been overwhelmed by retailers and manufacturers searching for the right partner in balancing theexperience. Join us at this ProS Who Know session to hear from Dotcom Distribution, a multi-channel third-party logistics provider, about how they thrived during the pandemic and how their fulfillment strategy is managing the influx of new business post-pandemic. They will share tips on breaking through current operational shipping constraints, as well as preparing to integrate a 3PL into your supply chain (it starts with something you might not expect!) Register now to get your questions to these experts! 2pm-3pm CST Death of the Single Carrier: Building a Successful Regional Carrier Strategy Given the surge of online shopping over the past year and a half, retailers have been struggling with capacity strains and have discovered that single carrier strategies just don’t work, making the race to diversify the carrier mix very real. In this roundtable discussion, hear from a panel of elite regional carriers who have found their niche as a successful and efficient shipping partner for top retailers all over the country. Join us live to find out how to onboard these premier carriers, prepare for peak 2021 and beyond, and ask questions about your own carrier strategy! DAY 2 | Thursday, July 22nd 11am-12pm CST [ProShip Customer Exclusive] Converge FOG User Conference: The Details Are you curious about the upcoming ProShip User Conference in September? Join our team to learn about the value this educational and eye-opening in-person conference will bring. This webinar will highlight the informative ProShip speaker-led sessions at Converge, as well as discuss key partner participation aimed to optimize your software investment. Join us for this session and we’ll explain how Converge 2021 is the best way to participate in training opportunities, listen in on the ProShip product roadmap and network with peers, product leads, partners and other users. 2pm-3pm CST [Invite Only]: Sneak Peak 2021: An Expert Parcel Shipping Q&A 2020 was a chaotic year in the world of shipping, but the upcoming peak season is about to accelerate capacities even more. Being prepared for the upcoming peak season can make a big difference on the success of your supply chain as well as your bottom line. But how to prepare... get tips from the experts! This ProS Who Know session will feature an invite-only opportunity for attendees to ask these top industry consultants their burning questions – a full dedicated hour to ask about peak 2021 and more. Whether it’s how to prepare, how to execute carrier volume balancing, or what is on the horizon for surcharges, reach out now to secure your seat and submit your questions early! To complete registration, visit http://bit.ly/proswhoknow21."
Thu Jul 22 06:07:45 2021,6816279839683833856,Using CX to Build an Omni-Channel Experience,40,"Tomorrow, 1:00 PM BST",https://www.linkedin.com/events/6816279839683833856/,"Panel Discussion on E-Commerce: Using CX to Build an Omni-Channel Experience for E-Commerce. The digital customers will experience many touchpoints in your e-commerce business. Are your customers experiencing your brand in a way you want? How do you design your process so that it is consistent across your multiple market channels? Last but not least, how do you work with partners to build a highly effective model? Listen to our panel of CX and E-commerce experts as they share their experience and know-how in omnichannel e-commerce. The panel will be moderated by Claudius Ng, President of Singapore Chamber of E-commerce, and consists of the following esteemed panellists. • How does omni-channel amplify the(CX)? • How to deploy the first omni-channelfor growth? • Where are the potential pitfalls and leverages for a omni-channel CX? • How to choose the right model for the different types of e-commerce businesses? • Where do you think the future holds for business without omni-channel or CX? -- 🗓 23rd July 2021 (Friday), 3 to 4.30 pm 📍 Zoom RSVP here: https://www.trainingvision.com.sg/panel-discussion-ecommerce"
Thu Jul 22 06:07:45 2021,6801454002312622080,The Virtual MarTech Summit Europe,431,"Today, 3:00 PM BST",https://www.linkedin.com/events/6801454002312622080/,"A Forrester study found that 44% of marketers are utilising big data and only 36% are regularly applying data analytics insights to improve customer experience strategies. Common pain points include managing multiple data streams, lack of expertise, and insufficient tools to take a holistic approach to data analytics and management. Speakers: - Mario Invernizzi, VP Sales EMEA, Snipp - AJ Coyne, Head of Marketing, Klarna - Rajiv Dingra, Founder & CEO, RD&X Network - Amitesh Mishra, Head of Data Platforms (Marketing & Communications Technology), TSB Bank - Novnish Ramesh, Content & Campaign Marketing Manager, Egis - Priscila Bezerra, Growth Marketing, Martech & Operation Leader, Banco Itaú - Neha Dadbhawala, Director, Digital Marketing Operations, McAfee - Alexander Haldane, Trade Marketing Lead, Goose Island, ABInBev - Matt Baron, Global Strategic Sourcing Director, Marketing Data & Technology, Mars Global Corporate"
Thu Jul 22 06:07:45 2021,6803967376019873792,Digital Experience Summit - Free Lunch While You Attend,35,"Thu, Jul 29 - Fri, Jul 30",https://www.linkedin.com/events/6803967376019873792/,"Join the editors of CMSWire for ""ORCHESTRATE: Raising Your Relevance, Advancing Omnichannel"", the third program in our 4-part DX Summit 2021 virtual conference series. Conference Topics: - Building a crawl-walk-run roadmap for omnichannel, personalized experiences - Orchestration foundations: Journey discovery and iterative mapping - Strategies and architectures for data fusion and silo busting - The role and future of AI in journey orchestration and real-time decisioning - Prediction modeling and attribution for ROI impact - Case studies of empowered customer service organizations - Customer Data Platforms: Landscape, categories, trends, facts and myths About DX Summit: Digital Experience Summit is the premier digitalconference. The event is produced by Simpler Media Group, the publisher of CMSWire and Reworked. During this 4-part virtual conference series, DX Summit attendees have the unique opportunity to see inside the world’s best digital customer experiences and discover the latest digital CX trends, best practices and research."
Thu Jul 22 06:07:45 2021,6810283800812249088,Customer Experience Workshop,1,"Fri, Sep 10, 4:00 AM BST",https://www.linkedin.com/events/6810283800812249088/,Join us for a workshop on customer experience and how to find the root of your company's profile.
